Nama Kecamatan,latitude,longitude,Luas kecamatan,Luas ruang terbuka,Jumlah Penduduk
Ciemas,-7.1833,106.5167,30448,101.3,57362
Ciracap,-7.325,106.4639,14853,134.08,57881
Waluran,-7.1667,106.5667,9882,11.833,31826
Surade,-7.3417,106.5833,11934,12.16,83964
Cibitung,-6.9667,106.5333,8884,43.73,30778
Jampangkulon,-7.2667,106.6333,6259,7.466,48625
Cimanggu,-7.3333,106.5333,6258,37.15,27094
Kalibunder,-7.4667,106.6333,8608,8.901,32685
Tegalbuleud,-7.3167,106.5833,25554,120.91,36892
Cidolog,-7.4167,106.5333,9573,54.22,17345
Sagaranten,-7.2167,106.8667,11302,94.15,54142
Cidadap,-7.1167,106.8,8581,58.27,19913
Curugkembar,-7.2333,106.8333,5587,7.966,31678
Pabuaran,-7.3,106.8833,11570,102.42,45443
Lengkong,-7.0333,106.6333,14651,120.01,34201
Palabuhanratu,-7.0295,106.5589,9177,9.68,120054
Simpenan,-7.2164,106.5169,16793,79.68,60143
Warungkiara,-7.0167,106.7167,9497,59.15,67454
Bantargadung,-7.1475,106.5819,7601,44.2,42568
Jampangtengah,-7.2833,106.8,19849,159.5,72312
Purabaya,-7.35,106.9667,11602,54.5,45734
Cikembar,-6.9667,106.8,8984,30.5,98066
Nyalindung,-7.3167,107.0333,10438,15.78,53418
Gegerbitung,-7.2333,106.9333,6765,45.62,43535
Sukaraja,-6.8833,106.9333,4200,30.94,98048
Kebonpedes,-6.95,106.8667,1083,1.57,35053
Cireunghas,-7.3258,106.8564,3072,19.7,37071
Sukalarang,-7.1667,106.8667,3090,16.75,52565
Sukabumi,-6.9167,106.9167,2991,15.9,52271
Kadudampit,-6.8333,106.75,6999,32.8,60365
Cisaat,-6.9,106.8333,2149,3.153,132399
Gunungguruh,-7.0167,106.9,2631,15.42,58587
Cibadak,-6.9056,106.7,6306,25.2,124835
Cicantayan,-6.8167,106.7833,3490,27.18,62587
Caringin,-6.7167,106.8167,3654,29.93,52936
Nagrak,-6.85,106.8167,7119,30.04,92757
Ciambar,-6.7667,106.7,5346,9.14,44600
Cicurug,-6.7833,106.7833,5216,14.3,139041
Cidahu,-6.7333,106.7,3530,21.33,77163
Parakansalak,-6.7167,106.6667,3688,13.16,47208
Parungkuda,-6.8167,106.75,2401,12.85,79477
Bojonggenteng,-7.3167,106.9167,2037,12.9,41641
Kalapanunggal,-7.4333,106.7167,4937,22.6,54458
Cikidang,-6.9333,106.7,15501,29.6,71950
Cisolok,-7.0056,106.4247,17347,59.4,79599
Cikakak,-7.3856,106.5286,11314,31.5,47131
Kabandungan,-6.7833,106.6833,13667,29.3,47549
